website	activeUsers	newUsers	totalUsers	eventCountPerUser	screenPageViewsPerUser	sessions	averageSessionDuration	screenPageViews	engagementRate
OCS main - GA4	17812	17836	17815	5.264821468672805	1.6630922973276443	21969	131.8697904861851	29623	0.4239155173198598
Static case study streams	10156	12786	10171	8.900748326112643	2.2970657739267426	21464	218.73478448155055	23329	0.7330879612374208
