website	activeUsers	newUsers	totalUsers	eventCountPerUser	screenPageViewsPerUser	sessions	averageSessionDuration	screenPageViews	engagementRate
OCS main - GA4	14493	14470	14493	5.213965362588836	1.645346029117505	17123	127.43541605080885	23846	0.4126613327103895
Static case study streams	8739	10868	8749	8.710035473166267	2.279551436091086	17332	225.88816478819524	19921	0.7265174244172629
